,DESCRIPTION,CITY
100,A girl says she has four girls and they are her friends and classmates.They all have boyfriends .They usually ask her why she doesn't have and she tells them she doesn't but instead they force her to have one,Nairobi
101,A girl says that her friend was raped and now she is HIV positive and she is asking  if someone has been raped are they not suppose to remove their clothes,Nairobi
102,A girl says when she is walking  boys call her and if she refuses they want to beat her,Nairobi
103,Is it bad to have a friend who is a boy and you trust him,Nairobi
104,As girls we go through many things .A teacher in a school at Laini Saba takes advantage of girls.please help us,Nairobi
105,If a boy disturbs you daily then you abuse him verbally what will he do?,Nairobi
106,A girl was walking then saw two boys catching a girl's buttocks and taking her towards  a dark side of the road,Nairobi
107,if a boy tells you to prove to him if you love him and asks you to kiss him what should you do?,Nairobi
108,girls are complaining that they are being caned on the buttocks and it is against Kenyan law,Nairobi
109,girls are complaining that they are being caned on the buttocks and it is against Kenyan law,Nairobi
110,A man threatened a girl that he will end her life if she does not accept to be his woman,Nairobi
111,A older boy disturbing girls always touching them.,Nairobi
112,A teacher caining/beating  girls on buttocks,Nairobi
113,A grade six boy calling a girl sweet baby every time she passes,Nairobi
114,A grade six boy calling a girl sweet baby every time she passes,Nairobi
115,"Young men commenting on a girl with a short skirts; sexy, hot",Nairobi
116,A girl says there is a boy disturbing him at home,no_city
117,A girl says there is a boy disturbing him at home,no_city
118,A girl says there is a boy disturbing him at home,no_city
119,"During the course of the interview the MD asked me Inappropriate questions like &quot; what would you do if some man touches you when you are walking down the street&quot;. I felt molested.He also intruded my personal space by asking me questions on my divorce ( when, where, how). I am in need of a job as I have none. If they offer I might join for few months till I find another. But I know I should not join.",no_city
120,this happened long ago but cannot forget it. The fellow was behind me when he kept touching my butt and around. month day time are approximate,Chennai
121,A girl was walking home and a man tried to hold her by force,Nairobi
122,"19th December 2017.

Around 10.30 am in broad daylight at Andheri Station, Mumbai

I had just gotten out of a train and was heading to the staircase to get to the overhead footbridge. There was a lot of crowd, leading to a mini- stampede situation. I lost my sister's hand in this and got pushed ahead. For a few minutes no one moved as there were so many people and the crowd was just not able to move. I suddenly felt something on my chest, but thought its just in my head. But I kept feeling it, again and again, and then to my horror when I looked down, there was a hand on my left breast groping me again and again and again. I couldn't even move my head to turn and see who it was, or move my hand to get the hand off me. Because there were SO MANY PEOPLE STUCK TO ME. I froze. And after a few seconds the crowd suddenly started moving ahead and I got pushed again. By the time I could get some space to turn and look for who it was, I guess he was gone. I kept trying to look for him, but had no idea what he looked like, and he got away.

When my sister found me she said I had the most shocked expression and looked horrified. And she said she saw 2-3 women more in the same crowd, with the same expression, and that someone tried to grope her from behind too in that stampede.",Mumbai
123,A girl was defiled or raped with three  men  for three days and was almost dying because of the pain she undergone but got pregnant but she want to abort but she need advise,no_city
124,a girl is being harassed with boys they touch her on the private parts and if she refuses they beat her up and threaten her up,no_city
125,some boys like pulling and touching a girl in a corridor when she has been sent to the shop,no_city
126,A girl is being forced to have sex with her biological farther and she is requesting for help,no_city
127,A girl is being  forced to have sex with her uncle so that he can buy sanitary towels for the girl,no_city
128,There are some boys who like touching girls on the buttocks and breast,no_city
129,there are some boys who normally wait for a girl when she is from school and want to touch her breast.They told  her if she refuses they will beat her,no_city
130,A young woman going to Toi market was raped at Karanja Road,Nairobi
131,some boys do call a girl wherever they meet her and they also run after her  but the girl usually hide where she cant be seen by them and the girl is wondering what do they want from her,no_city
132,a girl is asking  that is it right to have sex when you are in your menses,no_city
133,a girl was forced to have sex,no_city
134,Groping and touching,no_city
135,Employee was invited to evening hotel room and was indicate that even if she was married the doctor wouldn't mind it. Doctor married too.,Delhi
136,A man followed a girl who was going to the shop.,no_city
137,A man looked at a girl as she  was walking along the road.,no_city
138,A man making catcalls at a girl as she was passing.,no_city
139,"As he was holding her hand walking a long the road,the man commented on the girl how sexy she looks.",no_city
140,A girl's hand was hold by a boy as she was walking along the road.,no_city
141,Girls canned on their buttocks when are on their monthly period hence causes more pain and blood flow.,Lindi
142,A teacher canning on the girls on their buttocks as he looked at their thighs.,Lindi
143,"a girl reported that the man has been telling her to go into his house with this man many times and refused,he has been buying sweets and biscuits for the girl.",Nairobi
144,"Before a man raped her,he removed her clothes,tied her mouth,legs and touched her private parts.",Lindi
145,"A girl was raped by a man,in their house when mom was not around.",no_city
146,A man wanted to rape a girl and touched her forcefully as she ran away,Lindi
147,A BOY FORCED A GIRL TO LOVE HER AND WANTED TO RAPE HER.,Lindi
148,A boy likes seducing a girl at school.,Nairobi
149,A girl was touched by a man who had sex with her on her private part and touched her breast kissing her.,no_city
150,A man had sex with a girl.,no_city
151,"A girl was touched by a man on her breast,private parts and kissed her.",no_city
152,A man had a sex with a girl.,no_city
153,A girl reported that a teacher likes canning the girls on buttocks.,no_city
154,a Girl reported that a boy likes starring at her most of the time.,no_city
155,A girl reported that a boy likes playing with her and smiling at her during break time.,no_city
156,A man has been following a girl anytime he saw her.,no_city
157,A man touched a girl on her breasts and private parts for sex.,no_city
158,A man had sex with a girl,no_city
159,A boy starred at a girl as she was walking along the road.,no_city
160,A boy loudly commented on a girls hips that they look sweet.,no_city
161,Some starring at a girl as she passes near them.,no_city
162,Some boys were catcalling a girl who was passing near them,no_city
163,A tall man stared at a girl as she was walking.,no_city
164,Some boys were whistling at a girl as she was going to the bus station.,no_city
165,A man comments on a girl's body shape as she passes.,Nairobi
166,A man staring at a girl as she passes near the shop.,no_city
167,A man touches a girl's waist besides the road.,no_city
168,a girl is afraid because her neighbor whose name is James touched her on the private parts and threatened  to kill her if she tell anybody about it,Nairobi
169,A boy forced a girl to have sex with her in his house,no_city
170,A girl is asking  why is it that boys like removing girls the clothes when they want to have sex with them,no_city
171,A girl is asking  why is it that boys like removing girls the clothes when they want to have sex with them,no_city
172,a form two year old has been touching girls on the private parts and having sex with young children,no_city
173,a three year old girl was touched on her private parts and the boy put his penis on the child and urinated on her mouth,no_city
174,a three year old girl was touched on her private part by a 15 year old,no_city
175,A girl is complaining about being caned on the buttocks because when she is in her menses it flows a lot and it is embarrassing,Nairobi
176,A girl is complaining about being caned on the buttocks because when she is in her menses it flows a lot and it is embarrassing,Nairobi
177,a teacher is caning girls on the buttocks,Nairobi
178,there is a  boy who like following a girl wherever she goes,no_city
179,"a girl is asking that there is a man who is in love with her but she do not, want what is the best action to take?",no_city
180,"a girl is asking that there is a man who is in love with her but she do not, want what is the best action to take?",no_city
181,A man is forcing a girl to love him by force,no_city
182,a motor bike rider was passing and stopped just to say hie to me and told me that he is already in love with me,no_city
183,I was in the matatu and one man told me that he is in love with me and requested for my number,Nairobi
184,I was in the matatu and one man told me that he is in love with me and requested for my number,Nairobi
185,a woman went to buy medicine from the chemist and found the man who was left to be in charge.  He asked the buyer to sleep with him and all her pain will go off.,Nairobi
186,a woman went to buy medicine from the chemist and found the man who was left to be in charge.  He asked the buyer to sleep with him and all her pain will go off.,Nairobi
187,A boy told me that he loves me but I don't want,no_city
188,A new boy in our school has been stalking me,Nairobi
189,"A boys has been coming after me, I try to avoid him but he is insisting",no_city
190,Older boys beating young girls,no_city
191,Boys who were drinking and smoking were staring at me,no_city
192,A girl is scared about boys raping girls,Nairobi
193,I always pass around some boys and they call me,no_city
194,Boys looking at girls under their dresses when they sit down.,Nairobi
195,A GIRL DISTURBED BY BOYS AFTER SCHOOL.,no_city
196,A girl loved by a boy in their school.,Nairobi
197,A boy commented on my dressing.,Patna
198,"We were enjoying water games and there was a group of boys who were touching girls by any means every now and then. They were shouting,  passing comments.",no_city
199,I went with my friends to water park and there a group of boys stalked and commented us.,no_city
200,One man just asked me would I spend a night with him? And he spoke while I was stuck in a traffic in auto.,no_city
201,I was going through auto and the guy sitting opposite me was continuously staring me from top to bottom and the made me feel really uncomfortable.,Patna
202,I was waiting for bus at a bus stop and two boys were taking a picture of mine from opposite side.,Patna
203,"I went to washroom and while I was coming back to my family,  suddenly someone groped my breasts and I was terrified,  stunned.",Patna
204,I went to park with my friends and one boy commented on my dressing. And I felt so uncomfortable,Patna
205,A middle aged man touched me when I was boarding n auto. And I was stunned,Patna
206,"While I was going on my scooty, two boys on their bike commented very absurd words.",Patna
207,Me and my friend were having fast food and a group of boys were continuously staring at us.,Patna
208,Two men stalked me while I was going alone towards auto stand.,Patna
209,"there is a teacher who like touching girls on the private parts,caning there buttocks while touching their buttocks asking how many clothes does the girl has",Nairobi
210,when the girl is passing on the road she is being called by boys,Nairobi
211,Teachers are in love in the same school,Nairobi
212,There is a boy who wanted to touch a girl on the privates but she refused and beaten the her,Nairobi
213,"a girl traveled to upcountry and met a boy and had sex, when she came back to Nairobi met the same boy seducing other girls",Nairobi
214,there is a boy who  touched the girl on the breast but she is not interested,Nairobi
215,girls were being caned on the buttocks,Nairobi
216,Mr Lubanga  cane girls on the buttocks,Nairobi
217,There is a teacher who like caning girls on the buttocks,Nairobi
218,there is a boy who is forcing a girl to have sex with him,Nairobi
219,Daisy was raped,Nairobi
220,some teachers  are seducing girls in school,Nairobi
221,there is a boy who like disturbing girls in school,Nairobi
222,there is a boy who like disturbing girls in school,Nairobi
223,They were stalking,Ulhasnagar
224,They were stalking,Ulhasnagar
225,A girl went to the shop and a man started whistling and calling her.,Nairobi
226,A girl's hand was held by a businessman in the market as she was passing in the market stall that he want her to love him.,Nairobi
227,A she was walking along the road and some men who were behind her were commenting on her buttocks.,Nairobi
228,a girl was whistled at as she was going for games practice by some two men.,Nairobi
229,a girl was whistled at as she was going for games practice by some two men.,Nairobi
230,A boy checked into a girls bag and found sanitary towel then he started comment about it to the rest of the class members.,Nairobi
231,A girl caned on her buttocks as her thighs exposed to the rest of her classmate.,Nairobi
232,A girl was caned on her hips by the teacher.,Nairobi
233,A girl sexually abused by a male neighbor.,Nairobi
234,A Girl caned by male teacher while uplifting her uniform.,Nairobi
235,A girl being seduced by a boy and he disturbs her most of the times.,Nairobi
236,A girl was touched on her breast by a school boy behind the water tank.,no_city
237,A was touched by a boy on her way to home.,no_city
238,A man had sex with a class eight girl and became pregnant.,Nairobi
239,A man had sex with a class eight girl and became pregnant.,Nairobi
240,A man had sex with a class eight girl and became pregnant.,Nairobi
241,A girl had a sex with a man and she is now pregnant.,Nairobi
242,A girl disturbed by her schoolmate who want to be her lover.,Nairobi
243,A girl felt too shy as she was walking and some men were looking at her and ogling.,Nairobi
244,"A man wanted her to be her girlfriend,he told her on her way to shop.",Nairobi
245,A girl was touched by her sister's husband whom she stay with when her sister was not around.,Nairobi
246,Her friend who is a girl was being whistled at when they were walking together to the church.,Nairobi
247,A girl was forced to have sex with her step father.,Nairobi
248,A girl followed by boys when sent to the shop.,Nairobi
249,A girl raped by her father when mother was not around.,Nairobi
250,A girl touched by her brother on her breast in their house when the parents are not around.,Nairobi
251,A man told a girl to touch him on his private part and she ran away.,Nairobi
252,A boy told the girl that he want to have sex with her.,Nairobi
253,A girl seduced by three men as she went to buy vegetables for supper.,Nairobi
254,A girl was told by a boy that he love her as they were from school.,Nairobi
255,A girl was told by a boy that he love her as they were from school.,Nairobi
256,A girl disturbed by two men via their comments about her.She faces the challenges of being disturbed by other men too on her way to the shop.,Nairobi
257,A girl disturbed by a man to be his girlfriend.,Nairobi
258,A girl being disturbed by boys who always tell her to have sex with them.,Nairobi
259,A girl being disturbed by boys and always comment on how sexy she looks at home.,Nairobi
260,A man wanted to have sex with a school girl when the parents were not around in their house.,Nairobi
261,A girl was being called by men on the road side as she was walking to the market.,Nairobi
262,A girl was being called by men on the road side as she was walking to the market.,Nairobi
263,A girl caned by her teacher on her buttocks as her uniform pulling up in front of her classmates.,Nairobi
264,A girl forced and threatened by a man to be his girlfriend.,Nairobi
265,A girl is forced by a man to have sex near their house.,Nairobi
266,A GIRL FORCED TO HAVE SEX BY HER UNCLE AT HIS HOUSE.,Nairobi
267,"A girl touched,kissed by a boy in school.",Nairobi
268,"A girl touched,kissed by a boy in school.",Nairobi
269,"A girl touched,kissed by a boy in school.",Nairobi
270,"A girl touched,kissed by a boy in school.",Nairobi
271,Dropping my husband to the bus station after 10pm when i was returning back to my residence..followed &amp; stalked by 2boys on a vehicle.,no_city
272,There is a boy who likes disturbing a girl in the same school,Nairobi
273,There is  a boy who is in love with another girl but she do not want,Nairobi
274,A boy called Benedict likes touching girls,Nairobi
275,Boys from a neighboring school like touching girls from the buttocks,Nairobi
276,A girl was disturbed when she was from the shop by some boys,Nairobi
277,some girls are being harassed by some men because they are fat and if they do not want they are abused,Nairobi
278,There is a boy in the same class with  a girl and he always wants to touch her,Nairobi
279,There was a boy who wanted to touch a girl on her private parts,Nairobi
280,A boy likes disturbing girls in class when the teacher is not there,Nairobi
281,Some boys like embarasing girls if they refuse to be there girlfriends,Nairobi
282,When students are from school there is a boy who like disturbing girls like he wan to touch there breast,Nairobi
283,There is a boy who like disturbing a girl in class,Nairobi
284,There was a day that a man wanted to rape a girl when she was from school,Nairobi
285,Some boys tried to rape a girl but she screamed and was helped but they followed her later  and she disappeared,Nairobi
286,There is a boy who always disturb a girl  and always insists to touch her,Nairobi
287,#NAME?,Nairobi
288,A girl had sex with a man and she is pregnant right now.,Nairobi
289,A man wanted to sleep with a girl in their house when her mother was not around.,Nairobi
290,A man wanted to sleep with a girl in their house when her mother was not around.,Nairobi
291,-A girl wanted to be raped by her mother in her mother's bed.,Nairobi
292,#NAME?,Nairobi
293,#NAME?,Nairobi
294,#NAME?,Nairobi
295,#NAME?,Nairobi
296,#NAME?,Nairobi
297,#NAME?,Nairobi
298,#NAME?,Nairobi
299,#NAME?,Nairobi
300,A girl was raped by her step father and she was afraid to tell her mother.,Nairobi
301,A girl being seduced by her teacher.,Nairobi
302,There is no light at night and boys follow girls at night if they have been sent,Nairobi
303,There is a boy who disturbs  girl when she is sent to the shop,Nairobi
304,teachers are touching girls first before caning them on the buttocks,Nairobi
305,Joyce do not want to be beaten on the buttocks because it is painful most likely when in period,Nairobi
306,Joyce do not want to be beaten on the buttocks because it is painful most likely when in period,Nairobi
307,Joyce do not want to be beaten on the buttocks because it is painful most likely when in period,Nairobi
308,There is a teacher who like beating girls on the buttock and it is prohibited,Nairobi
309,Boys like touching girls during class time when the teacher is not around,Nairobi
310,Boys like touching girls during class time when the teacher is not around,Nairobi
311,Boys like touching girls during class time when the teacher is not around,Nairobi
312,Boys like touching girls during class time when the teacher is not around,Nairobi
313,Teachers like beating girls on the buttocks,Nairobi
314,There is a boy who like following a girl at night when she has been sent to the shop,Nairobi
315,There is a boy who like touching girls,Nairobi
316,Class seven boys like touching girls on the private parts,Nairobi
317,Teachers are folding girls' uniform before they are caned since their pants can be seen,Nairobi
318,It is painful when girls are beaten on the buttocks,Nairobi
319,Teachers like caning girls on the buttocks,Nairobi
320,Sharon do not want to be caned on the buttocks because it is against government,Nairobi
321,Sharon do not want to be caned on the buttocks because it is against government,Nairobi
322,Sharon do not want to be caned on the buttocks because it is against government,Nairobi
323,some girls when are caned on the buttocks their pants are being seen with their fellow pupils,Nairobi
324,when a girl is passing some boys like calling her and they are telling her that they will rape her,Nairobi
325,"Girls do not want to be caned the buttocks when they are in period, they are feeling much  pain",Nairobi
326,A girl had sex before she started her monthly period and she is asking if she will get pregnant,Nairobi
327,A primary old girl is pregnant and her friend does not know what to do,Nairobi
328,Teachers are caning girls on the buttocks,no_city
329,There is a teacher who like caning girls on the buttocks,Nairobi
330,Girls are complaining that they are being caned on the buttocks,Nairobi
331,Girls do not want to be caned on the buttocks,Nairobi
332,There is a girl who is complaining not to be caned on the buttocks,Nairobi
333,Girls are being caned on the buttocks,Nairobi
334,There is a boy who like disturbing a girl,Nairobi
335,There is a boy who is seducing a girl and the girl does not want him,Nairobi
336,There is a boy who is seducing a girl and the girl does not want him,Nairobi
337,There is a boy who told a girl that she love her from the same village,Nairobi
338,There is a boy who greeted a girl and touched her on the hands,Nairobi
339,The boyfriend wan to have sex with her girlfriend,Nairobi
340,There is a boy who follows a girl wherever she goes in the village,Nairobi
341,A girl had sex with a boy and she asking how can she prevent her her self from sexual intercourse,Nairobi
342,A boy told a girl when he saw her for the first time that he like her,Nairobi
343,There is a boy who usually want to touch a girl on the private parts and she is afraid telling her mother,Nairobi
344,There is a boy who usually want to touch a girl on the private parts and she is afraid telling her mother,Nairobi
345,There is a boy who usually want to touch a girl on the private parts and she is afraid telling her mother,Nairobi
346,There is a boy disturbs a certain girl and always cries,Nairobi
347,There is a girl who was touched on the breast with a boy,Nairobi
348,The boyfriend is asking for sex from her girlfriend,Nairobi
349,a boy somewhere is seducing a girl,Nairobi
350,The boyfriend want to have sex with her girlfriend,Nairobi
351,Some boys like calling girls when they are passing on the road,Nairobi
352,There is a boy like following a girl when she goes to get water from a local water vendor,Nairobi
353,There is a boy who usually like following a girl at her home and like calling her wherever she goes,Nairobi
354,A girl was touched on the private parts by a boy,Nairobi
355,A girl was raped and her friend is the only one who is aware,Nairobi
356,Girls are being beaten on the buttocks and also being injured on the private parts,Nairobi
357,Some boys like following girls when they are from school,Nairobi
358,Some boys are disturbing a certain girl after taking bhang and alcohol,Nairobi
359,Some boys are disturbing a certain girl after taking bhang and alcohol,Nairobi
360,There is a man who has been following a certain girl anywhere she goes mostly at night,Nairobi
361,There is a man who has been following a certain girl anywhere she goes mostly at night,Nairobi
362,A girl's brother connected her with his friend and ended up being in relationship with him and ended up having sex with her,Nairobi
363,"a girl went to visit her friend and were invited to take lunch together,then the father of her friend started touching her on her breast and she ended having sex after being given two hundred",Nairobi
364,There is a girl who is living with her aunt and she brought her a boy to have relationship but the girl is not interested,Nairobi
365,"A girl is being seduced by  boys,they like following her every where she goes",Nairobi
366,The girl was raped by her biological father and was taken to hospital and treated and then disappeared,Nairobi
367,a boy has been following a girl at night in the street and there is no light,Nairobi
368,A girl was raped by strangers at when she was sent to the shop.,Nairobi
369,Girls being caned by male teachers as their uniforms spread up and their thighs exposed to their fellow boys students.,Nairobi
370,Girls being caned by male teachers as their uniforms spread up and their thighs exposed to their fellow boys students.,Nairobi
371,There is a man in the village who is seducing young girls and if they refuse he is telling them that they will beat them,Nairobi
372,"A girls boyfriend's called his friends to rape the girl because she refused to have sex with her and now she is HIV positive,pregnant and also having STDs",Nairobi
373,A boy and a girl has been dating for five years and the boy insisted to have sex with her and she refused but later called his friends and rape her,Nairobi
374,A girl had sex with a boy and got infected with HIV/AIDS but do not want to inform her parents,no_city
375,A girl is having a friend who used to be so proud of herself and did not respect her friends and boys liked touching her in front of her fellow but now she is pregnant,Nairobi
376,A girl and a boy has been dating for 2 years and the boy has been insisting to have sex with the girl,Nairobi
377,a man in the same village is seducing a girl who is in primary,Nairobi
378,A boy and a girl prefects are in love in the same class and they usually go to the toilet together.,Nairobi
379,A girl was raped with her boyfriend and also got pregnant,Nairobi
380,A girl was touched on the breast by her brother,Nairobi
381,A girl was kissed on the breast and lips by a boy,Nairobi
382,A girl was kissed on the breast and lips by a boy,Nairobi
383,A girl is being seduced by boys in the same school,Nairobi
384,"A fourteen year old was caned on the buttocks by the teacher and she has a problem, and she do not want",Nairobi
385,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Nairobi
386,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Nairobi
387,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Nairobi
388,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Nairobi
389,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Nairobi
390,"A girl was caned on the buttocks by the teacher and pulled up  her uniform in front of her fellow students
   
till her panty was seen",Nairobi
391,"I had a boyfriend but I refused to have sex with him. One day my mum sent to the shop very early in the morning, I found him with a group of boys they had a machete, they raped me, I contracted a disease, I now smell",Nairobi
